Type,Price,Quantity,Timestamp,Unnamed: 4,Unnamed: 5,,
bid,38585000,0.70434249,1.68344E+12,,,,
ask,38626000,0.00258893,1.68344E+12,,,,
bid,38586000,0.08525354,1.68344E+12,,,,
ask,38627000,0.56797282,1.68344E+12,,,,
bid,38588000,0.02441049,1.68344E+12,,,,
ask,38627000,0.56797282,1.68344E+12,,,,
bid,38585000,0.56415805,1.68344E+12,,,,
ask,38627000,0.41365264,1.68344E+12,,,,
bid,38585000,0.01645805,1.68344E+12,,,,
ask,38627000,0.41684641,1.68344E+12,,,,
bid,38588000,0.1868,1.68344E+12,,,,
ask,38627000,0.41684641,1.68344E+12,,,,
bid,38586000,0.1862,1.68344E+12,,,,
ask,38626000,0.00258893,1.68344E+12,,,,
bid,38586000,0.56030781,1.68344E+12,,,,
ask,38626000,0.00258893,1.68344E+12,,,,
bid,38587000,0.13528032,1.68344E+12,,,,
ask,38627000,0.39919089,1.68344E+12,,,,
bid,38588000,0.00259147,1.68344E+12,,,,
ask,38624000,0.07373989,1.68344E+12,,,,
bid,38586000,0.49690112,1.68344E+12,,,,
ask,38624000,0.00469978,1.68344E+12,,,,
bid,38624000,0.26336638,1.68344E+12,,,,
ask,38627000,0.3474686,1.68344E+12,,,,
bid,38624000,0.30484166,1.68344E+12,,,,
ask,38626000,0.02925643,1.68344E+12,,,,
bid,38624000,0.08848187,1.68344E+12,,,,
ask,38627000,0.31807786,1.68344E+12,,,,
bid,38625000,0.10364079,1.68344E+12,,,,
ask,38627000,0.31807786,1.68344E+12,,,,
bid,38625000,0.02328762,1.68344E+12,,,,
ask,38627000,0.31109658,1.68344E+12,,,,
bid,38625000,0.06623123,1.68344E+12,,,,
ask,38627000,0.31109658,1.68344E+12,,,,
bid,38624000,0.00647312,1.68344E+12,,,,
ask,38625000,0.00433997,1.68344E+12,,,,
bid,38625000,0.39634081,1.68344E+12,,,,
ask,38630000,0.5301645,1.68344E+12,,,,
bid,38625000,0.34079491,1.68344E+12,,,,
ask,38630000,0.51993085,1.68344E+12,,,,
bid,38625000,0.30466907,1.68344E+12,,,,
ask,38630000,0.46618488,1.68344E+12,,,,
bid,38625000,0.2631145,1.68344E+12,,,,
ask,38630000,0.44318488,1.68344E+12,,,,
bid,38625000,0.21546394,1.68344E+12,,,,
ask,38630000,0.28671164,1.68344E+12,,,,
bid,38625000,0.11652632,1.68344E+12,,,,
ask,38630000,0.14592905,1.68344E+12,,,,
bid,38625000,0.05652632,1.68344E+12,,,,
ask,38630000,0.05545344,1.68344E+12,,,,
bid,38623000,0.03953151,1.68344E+12,,,,
ask,38630000,0.17064674,1.68344E+12,,,,
bid,38630000,0.09565678,1.68344E+12,,,,
ask,38635000,0.01326703,1.68344E+12,,,,
bid,38623000,0.00953151,1.68344E+12,,,,
ask,38630000,0.06840615,1.68344E+12,,,,
bid,38610000,0.00223447,1.68344E+12,,,,
ask,38630000,0.06960727,1.68344E+12,,,,
bid,38600000,0.01783853,1.68344E+12,,,,
ask,38630000,0.06960727,1.68344E+12,,,,
bid,38600000,0.04415439,1.68344E+12,,,,
ask,38630000,0.00120112,1.68344E+12,,,,
bid,38600000,0.02335899,1.68344E+12,,,,
ask,38630000,0.00120112,1.68344E+12,,,,
bid,38600000,0.00441381,1.68344E+12,,,,
ask,38635000,0.00782193,1.68344E+12,,,,
bid,38586000,0.06177302,1.68344E+12,,,,
ask,38635000,0.00782193,1.68344E+12,,,,
bid,38586000,0.51768211,1.68344E+12,,,,
ask,38635000,0.00782193,1.68344E+12,,,,
bid,38586000,0.43189891,1.68344E+12,,,,
ask,38635000,0.00782193,1.68344E+12,,,,
bid,38585000,0.87139097,1.68344E+12,,,,
ask,38634000,0.2388,1.68344E+12,,,,
bid,38587000,0.45736934,1.68344E+12,,,,
ask,38633000,0.2383,1.68344E+12,,,,
bid,38587000,0.40373469,1.68344E+12,,,,
ask,38633000,0.2337,1.68344E+12,,,,
bid,38587000,0.30078329,1.68344E+12,,,,
ask,38632000,0.2374,1.68344E+12,,,,
bid,38589000,0.2751,1.68344E+12,,,,
ask,38634000,0.02011724,1.68344E+12,,,,
bid,38590000,0.00583253,1.68344E+12,,,,
ask,38633000,0.07572444,1.68344E+12,,,,
bid,38588000,0.4876,1.68344E+12,,,,
ask,38633000,0.08583966,1.68344E+12,,,,
bid,38589000,0.1826406,1.68344E+12,,,,
ask,38633000,0.07292444,1.68344E+12,,,,
bid,38586000,0.0579,1.68344E+12,,,,
ask,38632000,0.2438,1.68344E+12,,,,
bid,38585000,1.30623775,1.68344E+12,,,,
ask,38632000,0.51413275,1.68344E+12,,,,
bid,38585000,0.85212561,1.68344E+12,,,,
ask,38632000,0.27038003,1.68344E+12,,,,
bid,38585000,2.52501455,1.68344E+12,,,,
ask,38630000,0.6531,1.68344E+12,,,,
bid,38586000,0.12828487,1.68344E+12,,,,
ask,38629000,0.01,1.68344E+12,,,,
bid,38585000,2.28247155,1.68344E+12,,,,
ask,38629000,0.01,1.68344E+12,,,,
bid,38585000,2.24234907,1.68344E+12,,,,
ask,38629000,0.03313544,1.68344E+12,,,,
bid,38585000,0.90875385,1.68344E+12,,,,
ask,38630000,0.58514792,1.68344E+12,,,,
bid,38585000,0.05796114,1.68344E+12,,,,
ask,38630000,0.58488906,1.68344E+12,,,,
bid,38587000,0.017,1.68344E+12,,,,
ask,38632000,0.27077172,1.68344E+12,,,,
bid,38586000,0.4103548,1.68344E+12,,,,
ask,38632000,0.21317958,1.68344E+12,,,,
bid,38586000,0.3503548,1.68344E+12,,,,
ask,38630000,0.00180447,1.68344E+12,,,,
bid,38586000,0.27330706,1.68344E+12,,,,
ask,38630000,0.0021931,1.68344E+12,,,,
bid,38586000,0.22585768,1.68344E+12,,,,
ask,38630000,0.0021931,1.68344E+12,,,,
bid,38585000,0.54265988,1.68344E+12,,,,
ask,38630000,0.2613931,1.68344E+12,,,,
bid,38585000,0.7944623,1.68344E+12,,,,
ask,38630000,0.08578192,1.68344E+12,,,,
bid,38585000,0.71507619,1.68344E+12,,,,
ask,38628000,0.01811342,1.68344E+12,,,,
bid,38586000,0.49403191,1.68344E+12,,,,
ask,38630000,0.09796585,1.68344E+12,,,,
bid,38628000,0.00940202,1.68344E+12,,,,
ask,38630000,0.09254924,1.68344E+12,,,,
bid,38587000,0.12610186,1.68344E+12,,,,
ask,38630000,0.05074984,1.68344E+12,,,,
bid,38630000,0.26052144,1.68344E+12,,,,
ask,38632000,0.21278789,1.68344E+12,,,,
bid,38591000,0.26828232,1.68344E+12,,,,
ask,38627000,0.01474828,1.68344E+12,,,,
bid,38591000,0.32336313,1.68344E+12,,,,
ask,38630000,0.00013203,1.68344E+12,,,,
bid,38591000,0.26336313,1.68344E+12,,,,
ask,38632000,0.12997736,1.68344E+12,,,,
bid,38592000,0.06004277,1.68344E+12,,,,
ask,38644000,0.2561,1.68344E+12,,,,
bid,38592000,0.51507897,1.68344E+12,,,,
ask,38644000,0.2918,1.68344E+12,,,,
bid,38593000,0.0325,1.68344E+12,,,,
ask,38646000,0.28961574,1.68344E+12,,,,
bid,38596000,0.2304,1.68344E+12,,,,
ask,38645000,0.027,1.68344E+12,,,,
bid,38645000,0.01833515,1.68344E+12,,,,
ask,38649000,0.31689726,1.68344E+12,,,,
bid,38602000,0.1862,1.68344E+12,,,,
ask,38649000,0.3091351,1.68344E+12,,,,
bid,38601000,0.978324,1.68344E+12,,,,
ask,38646000,0.264,1.68344E+12,,,,
bid,38602000,0.08701643,1.68344E+12,,,,
ask,38635000,0.18392154,1.68344E+12,,,,
bid,38602000,0.09951451,1.68344E+12,,,,
ask,38647000,0.10412425,1.68344E+12,,,,
bid,38612000,0.0579,1.68344E+12,,,,
ask,38647000,0.28408126,1.68344E+12,,,,
bid,38610000,0.2616,1.68344E+12,,,,
ask,38647000,0.22008126,1.68344E+12,,,,
bid,38611000,0.5175,1.68344E+12,,,,
ask,38642000,0.279043,1.68344E+12,,,,
bid,38641000,0.00960731,1.68344E+12,,,,
ask,38642000,0.265043,1.68344E+12,,,,
bid,38622000,0.0273,1.68344E+12,,,,
ask,38642000,0.17143187,1.68344E+12,,,,
bid,38610000,1.11548488,1.68344E+12,,,,
ask,38640000,0.02048741,1.68344E+12,,,,
bid,38612000,0.18241329,1.68344E+12,,,,
ask,38640000,0.01908889,1.68344E+12,,,,
bid,38612000,0.12241329,1.68344E+12,,,,
ask,38640000,0.01047055,1.68344E+12,,,,
bid,38610000,1.0261818,1.68344E+12,,,,
ask,38612000,0.19521012,1.68344E+12,,,,
bid,38612000,0.0001596,1.68344E+12,,,,
ask,38634000,0.698,1.68344E+12,,,,
bid,38610000,0.76902526,1.68344E+12,,,,
ask,38637000,0.2661,1.68344E+12,,,,
bid,38610000,0.71312206,1.68344E+12,,,,
ask,38615000,0.01327212,1.68344E+12,,,,
bid,38610000,0.64962136,1.68344E+12,,,,
ask,38615000,0.0131426,1.68344E+12,,,,
bid,38610000,0.56080386,1.68344E+12,,,,
ask,38615000,0.0131426,1.68344E+12,,,,
bid,38610000,0.48535275,1.68344E+12,,,,
ask,38615000,0.0131426,1.68344E+12,,,,
bid,38608000,0.0712896,1.68344E+12,,,,
ask,38609000,0.44697045,1.68344E+12,,,,
bid,38606000,0.00088069,1.68344E+12,,,,
ask,38608000,0.04777472,1.68344E+12,,,,
bid,38602000,0.03997143,1.68344E+12,,,,
ask,38615000,0.0131426,1.68344E+12,,,,
bid,38600000,0.04863879,1.68344E+12,,,,
ask,38635000,0.2662,1.68344E+12,,,,
bid,38598000,0.00231067,1.68344E+12,,,,
ask,38632000,0.2647,1.68344E+12,,,,
bid,38592000,0.00437024,1.68344E+12,,,,
ask,38633000,0.5063,1.68344E+12,,,,
bid,38591000,0.00051825,1.68344E+12,,,,
ask,38617000,0.1664568,1.68344E+12,,,,
bid,38600000,0.001877,1.68344E+12,,,,
ask,38633000,0.264769,1.68344E+12,,,,
bid,38601000,0.43650356,1.68344E+12,,,,
ask,38635000,0.46467617,1.68344E+12,,,,
bid,38601000,0.33666336,1.68344E+12,,,,
ask,38635000,0.46417617,1.68344E+12,,,,
bid,38601000,0.278605,1.68344E+12,,,,
ask,38635000,0.46417617,1.68344E+12,,,,
bid,38601000,0.16377837,1.68344E+12,,,,
ask,38634000,0.2605,1.68344E+12,,,,
bid,38604000,0.37031376,1.68344E+12,,,,
ask,38610000,0.2597,1.68344E+12,,,,
bid,38590000,0.37838488,1.68344E+12,,,,
ask,38607000,0.26459715,1.68344E+12,,,,
bid,38590000,0.29936324,1.68344E+12,,,,
ask,38608000,0.01828912,1.68344E+12,,,,
bid,38590000,0.26936324,1.68344E+12,,,,
ask,38607000,0.00251514,1.68344E+12,,,,
bid,38591000,0.50510824,1.68344E+12,,,,
ask,38607000,0.0025902,1.68344E+12,,,,
bid,38591000,0.51020612,1.68344E+12,,,,
ask,38607000,0.86325949,1.68344E+12,,,,
bid,38591000,0.54537119,1.68344E+12,,,,
ask,38607000,0.90939115,1.68344E+12,,,,
bid,38591000,0.52232815,1.68344E+12,,,,
ask,38599000,1.308,1.68344E+12,,,,
bid,38592000,0.09566875,1.68344E+12,,,,
ask,38599000,1.308,1.68344E+12,,,,
bid,38592000,0.09566875,1.68344E+12,,,,
ask,38599000,1.308,1.68344E+12,,,,
bid,38594000,0.03,1.68344E+12,,,,
ask,38597000,0.20074366,1.68344E+12,,,,
bid,38592000,0.04950847,1.68344E+12,,,,
ask,38597000,0.1991415,1.68344E+12,,,,
bid,38592000,0.04566697,1.68344E+12,,,,
ask,38597000,0.13410385,1.68344E+12,,,,
bid,38591000,0.44424369,1.68344E+12,,,,
ask,38592000,0.07230247,1.68344E+12,,,,
bid,38591000,0.34403896,1.68344E+12,,,,
ask,38592000,0.0711969,1.68344E+12,,,,
bid,38590000,0.26159503,1.68344E+12,,,,
ask,38592000,0.07226624,1.68344E+12,,,,
bid,38590000,0.20587359,1.68344E+12,,,,
ask,38592000,0.07226624,1.68344E+12,,,,
bid,38590000,0.20587359,1.68344E+12,,,,
ask,38592000,0.03044565,1.68344E+12,,,,
bid,38590000,0.20587359,1.68344E+12,,,,
ask,38592000,0.01469748,1.68344E+12,,,,
bid,38590000,0.20613272,1.68344E+12,,,,
ask,38592000,0.00174791,1.68344E+12,,,,
bid,38590000,0.21534092,1.68344E+12,,,,
ask,38592000,0.00148879,1.68344E+12,,,,
bid,38590000,0.21663659,1.68344E+12,,,,
ask,38592000,0.00934629,1.68344E+12,,,,
bid,38592000,0.02221089,1.68344E+12,,,,
ask,38593000,0.0078877,1.68344E+12,,,,
bid,38597000,0.09352844,1.68344E+12,,,,
ask,38599000,1.308,1.68344E+12,,,,
bid,38597000,0.20735862,1.68344E+12,,,,
ask,38599000,1.29452607,1.68344E+12,,,,
bid,38597000,0.20735862,1.68344E+12,,,,
ask,38599000,0.01376327,1.68344E+12,,,,
bid,38597000,0.16080305,1.68344E+12,,,,
ask,38599000,0.01404255,1.68344E+12,,,,
bid,38597000,0.12161552,1.68344E+12,,,,
ask,38599000,0.01404255,1.68344E+12,,,,
bid,38597000,0.14482789,1.68344E+12,,,,
ask,38598000,0.098,1.68344E+12,,,,
bid,38597000,0.14823408,1.68344E+12,,,,
ask,38598000,0.09756029,1.68344E+12,,,,
bid,38597000,0.0808221,1.68344E+12,,,,
ask,38598000,0.08867851,1.68344E+12,,,,
bid,38597000,0.0795054,1.68344E+12,,,,
ask,38598000,0.06041034,1.68344E+12,,,,
bid,38597000,0.10403264,1.68344E+12,,,,
ask,38598000,0.05987616,1.68344E+12,,,,
bid,38597000,0.16776929,1.68344E+12,,,,
ask,38598000,0.04009563,1.68344E+12,,,,
bid,38597000,0.16776929,1.68344E+12,,,,
ask,38598000,0.01227876,1.68344E+12,,,,
bid,38597000,1.21082651,1.68344E+12,,,,
ask,38598000,0.01227876,1.68344E+12,,,,
bid,38598000,0.00765567,1.68344E+12,,,,
ask,38599000,0.01376327,1.68344E+12,,,,
bid,38598000,0.03224994,1.68344E+12,,,,
ask,38599000,0.01376327,1.68344E+12,,,,
bid,38598000,0.00940889,1.68344E+12,,,,
ask,38599000,0.33876327,1.68344E+12,,,,
bid,38597000,1.15258503,1.68344E+12,,,,
ask,38598000,0.00608223,1.68344E+12,,,,
bid,38597000,1.15558503,1.68344E+12,,,,
ask,38598000,0.00608223,1.68344E+12,,,,
bid,38597000,1.15558503,1.68344E+12,,,,
ask,38598000,0.00608223,1.68344E+12,,,,
bid,38597000,1.11727235,1.68344E+12,,,,
ask,38598000,0.00608223,1.68344E+12,,,,
bid,38597000,0.15901619,1.68344E+12,,,,
ask,38599000,0.33876327,1.68344E+12,,,,
bid,38597000,0.17815314,1.68344E+12,,,,
ask,38599000,1.64676327,1.68344E+12,,,,
bid,38597000,0.04803898,1.68344E+12,,,,
ask,38599000,0.10151166,1.68344E+12,,,,
bid,38597000,0.04803898,1.68344E+12,,,,
ask,38599000,0.50471057,1.68344E+12,,,,
bid,38597000,0.04803898,1.68344E+12,,,,
ask,38599000,0.50315613,1.68344E+12,,,,
bid,38597000,0.06202507,1.68344E+12,,,,
ask,38603000,1.308,1.68344E+12,,,,
bid,38597000,0.06202507,1.68344E+12,,,,
ask,38603000,1.2885747,1.68344E+12,,,,
bid,38598000,0.01943049,1.68344E+12,,,,
ask,38603000,1.2885747,1.68344E+12,,,,
bid,38598000,0.02985355,1.68344E+12,,,,
ask,38603000,1.28486324,1.68344E+12,,,,
bid,38597000,0.06202507,1.68344E+12,,,,
ask,38598000,0.02005595,1.68344E+12,,,,
bid,38597000,0.05602507,1.68344E+12,,,,
ask,38598000,0.01487693,1.68344E+12,,,,
bid,38597000,0.06909912,1.68344E+12,,,,
ask,38598000,0.01228587,1.68344E+12,,,,
bid,38597000,0.07270707,1.68344E+12,,,,
ask,38598000,0.00187324,1.68344E+12,,,,
bid,38598000,0.00165503,1.68344E+12,,,,
ask,38606000,1.25763599,1.68344E+12,,,,
bid,38598000,0.00165503,1.68344E+12,,,,
ask,38613000,1.308,1.68344E+12,,,,
bid,38606000,0.02326804,1.68344E+12,,,,
ask,38614000,1.308,1.68344E+12,,,,
bid,38606000,0.04311208,1.68344E+12,,,,
ask,38614000,1.18930163,1.68344E+12,,,,
bid,38606000,0.00782197,1.68344E+12,,,,
ask,38616000,0.04140602,1.68344E+12,,,,
bid,38597000,0.09339475,1.68344E+12,,,,
ask,38616000,0.04140602,1.68344E+12,,,,
bid,38606000,0.00776692,1.68344E+12,,,,
ask,38616000,0.0370059,1.68344E+12,,,,
bid,38616000,0.02349357,1.68344E+12,,,,
ask,38620000,1.34236346,1.68344E+12,,,,
bid,38606000,0.00799811,1.68344E+12,,,,
ask,38616000,0.07668395,1.68344E+12,,,,
bid,38597000,0.08324807,1.68344E+12,,,,
ask,38616000,0.03014327,1.68344E+12,,,,
bid,38597000,0.06748601,1.68344E+12,,,,
ask,38616000,0.01497078,1.68344E+12,,,,
bid,38597000,0.06748601,1.68344E+12,,,,
ask,38616000,0.01497078,1.68344E+12,,,,
bid,38606000,0.05180541,1.68344E+12,,,,
ask,38616000,0.01000008,1.68344E+12,,,,
bid,38606000,0.05180541,1.68344E+12,,,,
ask,38620000,1.12279,1.68344E+12,,,,
bid,38606000,0.05180541,1.68344E+12,,,,
ask,38618000,0.02975398,1.68344E+12,,,,
bid,38618000,0.07686589,1.68344E+12,,,,
ask,38621000,0.0171865,1.68344E+12,,,,
bid,38619000,0.00740977,1.68344E+12,,,,
ask,38621000,0.01640973,1.68344E+12,,,,
bid,38619000,0.14656924,1.68344E+12,,,,
ask,38621000,0.0151598,1.68344E+12,,,,
bid,38619000,0.14093875,1.68344E+12,,,,
ask,38621000,0.0151598,1.68344E+12,,,,
bid,38619000,0.11215737,1.68344E+12,,,,
ask,38621000,0.00558481,1.68344E+12,,,,
bid,38619000,0.11215737,1.68344E+12,,,,
ask,38623000,0.06922907,1.68344E+12,,,,
bid,38623000,0.04938231,1.68344E+12,,,,
ask,38633000,0.01684605,1.68344E+12,,,,
bid,38623000,0.02624923,1.68344E+12,,,,
ask,38633000,0.01684605,1.68344E+12,,,,
bid,38619000,0.04130647,1.68344E+12,,,,
ask,38633000,0.01632836,1.68344E+12,,,,
bid,38619000,0.04130647,1.68344E+12,,,,
ask,38633000,0.01632836,1.68344E+12,,,,
bid,38631000,0.08422221,1.68344E+12,,,,
ask,38633000,0.00597586,1.68344E+12,,,,
bid,38619000,0.04130647,1.68344E+12,,,,
ask,38629000,0.12876182,1.68344E+12,,,,
bid,38619000,0.04130647,1.68344E+12,,,,
ask,38629000,0.12863237,1.68344E+12,,,,
bid,38619000,0.04130647,1.68344E+12,,,,
ask,38628000,0.0551255,1.68344E+12,,,,
bid,38619000,0.04119704,1.68344E+12,,,,
ask,38628000,0.00753951,1.68344E+12,,,,
bid,38621000,0.07685991,1.68344E+12,,,,
ask,38628000,0.00753951,1.68344E+12,,,,
bid,38624000,0.10018947,1.68344E+12,,,,
ask,38628000,0.00753951,1.68344E+12,,,,
bid,38625000,0.18986744,1.68344E+12,,,,
ask,38628000,0.00753951,1.68344E+12,,,,
bid,38625000,0.18727844,1.68344E+12,,,,
ask,38628000,0.00154425,1.68344E+12,,,,
bid,38624000,0.08391406,1.68344E+12,,,,
ask,38625000,0.3893119,1.68344E+12,,,,
bid,38624000,0.07738797,1.68344E+12,,,,
ask,38625000,0.36663421,1.68344E+12,,,,
bid,38624000,0.02228536,1.68344E+12,,,,
ask,38625000,0.36637544,1.68344E+12,,,,
bid,38624000,0.02228536,1.68344E+12,,,,
ask,38625000,0.29177704,1.68344E+12,,,,
bid,38624000,0.02228536,1.68344E+12,,,,
ask,38625000,0.21492509,1.68344E+12,,,,
bid,38619000,0.01503123,1.68344E+12,,,,
ask,38625000,0.17579646,1.68344E+12,,,,
bid,38619000,0.01503123,1.68344E+12,,,,
ask,38625000,0.17579646,1.68344E+12,,,,
bid,38616000,0.0145006,1.68344E+12,,,,
ask,38625000,0.1737263,1.68344E+12,,,,
bid,38616000,0.0045006,1.68344E+12,,,,
ask,38619000,0.00090629,1.68344E+12,,,,
bid,38616000,0.0045006,1.68344E+12,,,,
ask,38619000,0.0006474,1.68344E+12,,,,
bid,38616000,0.0045006,1.68344E+12,,,,
ask,38619000,0.0006474,1.68344E+12,,,,
bid,38616000,0.0045006,1.68344E+12,,,,
ask,38619000,0.0006474,1.68344E+12,,,,
bid,38616000,0.0045006,1.68344E+12,,,,
ask,38619000,0.00038847,1.68344E+12,,,,
bid,38616000,0.0045006,1.68344E+12,,,,
ask,38619000,0.0012742,1.68344E+12,,,,
bid,38616000,0.0035031,1.68344E+12,,,,
ask,38624000,0.21874285,1.68344E+12,,,,
bid,38616000,0.00648412,1.68344E+12,,,,
ask,38624000,0.21874285,1.68344E+12,,,,
bid,38600000,0.31998481,1.68344E+12,,,,
ask,38625000,0.1737263,1.68344E+12,,,,
bid,38592000,0.12483559,1.68344E+12,,,,
ask,38595000,0.02408813,1.68344E+12,,,,
bid,38592000,0.08214097,1.68344E+12,,,,
ask,38595000,0.02267802,1.68344E+12,,,,
bid,38592000,0.10786251,1.68344E+12,,,,
ask,38595000,0.02267802,1.68344E+12,,,,
bid,38592000,0.10254085,1.68344E+12,,,,
ask,38595000,0.02252256,1.68344E+12,,,,
bid,38595000,0.0420962,1.68344E+12,,,,
ask,38597000,0.59451448,1.68344E+12,,,,
bid,38595000,0.0420962,1.68344E+12,,,,
ask,38597000,0.59451448,1.68344E+12,,,,
bid,38595000,0.03231872,1.68344E+12,,,,
ask,38597000,0.59451448,1.68344E+12,,,,
bid,38595000,0.02969351,1.68344E+12,,,,
ask,38597000,0.59451448,1.68344E+12,,,,
bid,38597000,0.01839211,1.68344E+12,,,,
ask,38600000,0.02569739,1.68344E+12,,,,
bid,38595000,0.02969351,1.68344E+12,,,,
ask,38600000,0.02569739,1.68344E+12,,,,
bid,38595000,0.03223269,1.68344E+12,,,,
ask,38600000,0.02569739,1.68344E+12,,,,
bid,38595000,0.03223269,1.68344E+12,,,,
ask,38600000,0.02569739,1.68344E+12,,,,
bid,38600000,0.01329495,1.68344E+12,,,,
ask,38623000,0.10469103,1.68344E+12,,,,
bid,38599000,0.05064026,1.68344E+12,,,,
ask,38623000,0.05164037,1.68344E+12,,,,
bid,38599000,0.05064026,1.68344E+12,,,,
ask,38623000,0.01388898,1.68344E+12,,,,
bid,38599000,0.05064026,1.68344E+12,,,,
ask,38623000,0.01388898,1.68344E+12,,,,
bid,38623000,0.2360409,1.68344E+12,,,,
ask,38624000,0.09703001,1.68344E+12,,,,
bid,38623000,0.2360409,1.68344E+12,,,,
ask,38624000,0.04525008,1.68344E+12,,,,
bid,38623000,0.2360409,1.68344E+12,,,,
ask,38624000,0.13530261,1.68344E+12,,,,
bid,38598000,0.1,1.68344E+12,,,,
ask,38624000,0.01831514,1.68344E+12,,,,
bid,38598000,0.3343,1.68344E+12,,,,
ask,38624000,0.01831514,1.68344E+12,,,,
bid,38599000,0.21701396,1.68344E+12,,,,
ask,38624000,0.01831514,1.68344E+12,,,,
bid,38599000,0.21701396,1.68344E+12,,,,
ask,38624000,0.01831514,1.68344E+12,,,,
bid,38599000,0.24280437,1.68344E+12,,,,
ask,38624000,0.01831514,1.68344E+12,,,,
bid,38599000,0.24280437,1.68344E+12,,,,
ask,38624000,0.00461623,1.68344E+12,,,,
bid,38599000,0.21701396,1.68344E+12,,,,
ask,38623000,0.0212433,1.68344E+12,,,,
bid,38600000,1.06756353,1.68344E+12,,,,
ask,38624000,0.00429378,1.68344E+12,,,,
bid,38624000,0.21257971,1.68344E+12,,,,
ask,38625000,0.16779449,1.68344E+12,,,,
bid,38624000,0.12960785,1.68344E+12,,,,
ask,38625000,0.15179449,1.68344E+12,,,,
bid,38624000,0.12226222,1.68344E+12,,,,
ask,38625000,0.11513922,1.68344E+12,,,,
bid,38624000,0.14815218,1.68344E+12,,,,
ask,38625000,0.11513922,1.68344E+12,,,,
bid,38624000,0.14656495,1.68344E+12,,,,
ask,38625000,0.11513922,1.68344E+12,,,,
bid,38624000,0.1409837,1.68344E+12,,,,
ask,38625000,0.11513922,1.68344E+12,,,,
bid,38624000,0.1470883,1.68344E+12,,,,
ask,38625000,0.11513922,1.68344E+12,,,,
bid,38624000,0.11499745,1.68344E+12,,,,
ask,38625000,0.11513922,1.68344E+12,,,,
bid,38624000,0.08822479,1.68344E+12,,,,
ask,38625000,0.10893849,1.68344E+12,,,,
bid,38624000,0.06544272,1.68344E+12,,,,
ask,38625000,0.10849908,1.68344E+12,,,,
bid,38624000,0.06241808,1.68344E+12,,,,
ask,38625000,0.10849908,1.68344E+12,,,,
bid,38624000,0.48427114,1.68344E+12,,,,
ask,38625000,0.10849908,1.68344E+12,,,,
bid,38624000,0.4703458,1.68344E+12,,,,
ask,38625000,0.10863112,1.68344E+12,,,,
bid,38624000,0.5200935,1.68344E+12,,,,
ask,38625000,0.10863112,1.68344E+12,,,,
bid,38624000,0.39327386,1.68344E+12,,,,
ask,38625000,0.10604213,1.68344E+12,,,,
bid,38624000,0.39588881,1.68344E+12,,,,
ask,38625000,0.04629572,1.68344E+12,,,,
bid,38600000,0.00129533,1.68344E+12,,,,
ask,38605000,0.49211255,1.68344E+12,,,,
bid,38600000,0.00129533,1.68344E+12,,,,
ask,38605000,0.30327159,1.68344E+12,,,,
bid,38601000,0.44793064,1.68344E+12,,,,
ask,38605000,0.07883624,1.68344E+12,,,,
bid,38606000,0.0017585,1.68344E+12,,,,
